Date,DJIA
12/29/2017,24719.22
1/2/2018,24824.01
1/3/2018,24922.68
1/4/2018,25075.13
1/5/2018,25295.87
1/8/2018,25283
1/10/2018,25369.13
1/11/2018,25574.73
1/12/2018,25803.19
1/16/2018,25792.86
1/18/2018,26017.81
1/19/2018,26071.72
1/22/2018,26214.6
1/23/2018,26210.81
1/24/2018,26252.12
1/25/2018,26392.79
1/26/2018,26616.71
1/29/2018,26439.48
1/30/2018,26076.89
1/31/2018,26149.39
2/1/2018,26186.71
2/2/2018,25520.96
2/5/2018,24345.75
2/6/2018,24912.77
2/7/2018,24893.35
2/8/2018,23860.46
2/9/2018,24190.9
2/12/2018,24601.27
2/13/2018,24640.45
2/14/2018,24893.49
2/15/2018,25200.37
2/16/2018,25219.38
2/20/2018,24964.75
2/21/2018,24797.78
2/22/2018,24962.48
2/23/2018,25309.99
2/26/2018,25709.27
2/27/2018,25410.03
2/28/2018,25029.2
3/1/2018,24608.98
3/2/2018,24538.06
3/5/2018,24874.76
3/6/2018,24884.12
3/7/2018,24801.36
3/8/2018,24895.21
3/9/2018,25335.74
3/12/2018,25178.61
3/13/2018,25007.03
3/14/2018,24758.12
3/15/2018,24873.66
3/16/2018,24946.51
3/19/2018,24610.91
3/20/2018,24727.27
3/21/2018,24682.31
3/22/2018,23957.89
3/23/2018,23533.2
3/26/2018,24202.6
3/27/2018,23857.71
3/28/2018,23848.42
3/29/2018,24103.11
4/2/2018,23644.19
4/3/2018,24033.36
4/4/2018,24264.3
4/5/2018,24505.22
4/6/2018,23932.76
4/9/2018,23979.1
4/10/2018,24408
4/11/2018,24189.45
4/12/2018,24483.05
4/13/2018,24360.14
4/16/2018,24573.04
4/17/2018,24786.63
4/18/2018,24748.07
4/19/2018,24664.89
4/20/2018,24462.94
4/23/2018,24448.69
4/24/2018,24024.13
4/25/2018,24083.83
4/26/2018,24322.34
4/27/2018,24311.19
4/30/2018,24163.15
5/1/2018,24099.05
5/2/2018,23924.98
5/3/2018,23930.15
5/4/2018,24262.51
5/8/2018,24360.21
5/9/2018,24542.54
5/10/2018,24739.53
5/11/2018,24831.17
5/14/2018,24899.41
5/15/2018,24706.41
5/16/2018,24768.93
5/17/2018,24713.98
5/18/2018,24715.09
5/22/2018,24834.41
5/23/2018,24886.81
5/24/2018,24811.76
5/29/2018,24361.45
5/30/2018,24667.78
5/31/2018,24415.84
6/1/2018,24635.21
6/4/2018,24813.69
6/5/2018,24799.98
6/6/2018,25146.39
6/7/2018,25241.41
6/8/2018,25316.53
6/11/2018,25322.31
6/12/2018,25320.73
6/13/2018,25201.2
6/14/2018,25175.31
6/15/2018,25090.48
6/19/2018,24700.21
6/20/2018,24657.8
6/21/2018,24461.7
6/22/2018,24580.89
6/25/2018,24252.8
6/26/2018,24283.11
6/27/2018,24117.59
6/28/2018,24216.05
6/29/2018,24271.41
7/2/2018,24307.18
7/3/2018,24174.82
7/5/2018,24356.74
7/6/2018,24456.48
7/9/2018,24776.59
7/10/2018,24919.66
7/11/2018,24700.45
7/12/2018,24924.89
7/13/2018,25019.41
7/16/2018,25064.36
7/17/2018,25119.89
7/19/2018,25064.5
7/20/2018,25058.12
7/23/2018,25044.29
7/24/2018,25241.94
7/25/2018,25414.1
7/26/2018,25527.07
7/27/2018,25451.06
7/30/2018,25306.83
7/31/2018,25415.19
